Month,Production/kg,Rainfall in mm,Rainy days nos,Sunshine hours,Fertilizer,District
1/1/2016,3102903.0,0.0,0,219.0,160.65,1
2/1/2016,2822829.0,8.0,2,201.5,231.25,1
6/1/2016,3258617.0,68.0,12,172.8,682.3,1
7/1/2016,2459128.0,79.4,8,215.3,1636.6733018867924,1
8/1/2016,2817901.0,34.2,8,220.46,1636.6733018867924,1
1/1/2017,3175557.0,79.1,7,175.52823232323234,1716.02,1
2/1/2017,2536416.0,17.9,3,175.52823232323234,1039.4,1
3/1/2017,2760144.0,53.2,4,175.52823232323234,1383.08,1
4/1/2017,3743765.0,102.2,5,175.52823232323234,487.32,1
5/1/2017,3192891.0,341.1,9,175.52823232323234,3016.32,1
6/1/2017,3468381.0,93.4,11,175.52823232323234,2430.37,1
7/1/2017,3264970.0,148.2,7,175.52823232323234,1547.29,1
8/1/2017,3280748.0,110.1,11,175.52823232323234,2115.99,1
9/1/2017,3510599.0,175.7,14,175.52823232323234,2023.82,1
10/1/2017,3466405.0,197.1,13,175.52823232323234,1112.76,1
11/1/2017,3246515.0,467.7,13,175.52823232323234,1330.79,1
12/1/2017,3098666.0,49.9,5,175.52823232323234,32.6,1
1/1/2018,3118841.0,59.8,3,210.3,1175.21,1
2/1/2018,2561711.0,58.7,3,208.8,1842.96,1
3/1/2018,3455340.0,56.3,5,177.5,1940.91,1
4/1/2018,2946013.0,27.6,4,194.7,523.82,1
6/1/2018,2816589.0,204.4,20,155.3,2312.15,1
7/1/2018,2966482.0,49.5,7,209.4,1496.74,1
8/1/2018,2721844.0,76.4,10,175.52823232323234,1987.21,1
9/1/2018,2071524.0,62.6,8,175.52823232323234,523.52,1
10/1/2018,3416506.0,154.5,14,175.52823232323234,3311.5,1
11/1/2018,2933576.0,91.7,6,175.52823232323234,1955.06,1
12/1/2018,3251084.0,26.9,4,175.52823232323234,2609.18,1
1/1/2019,2879775.0,22.9,2,206.8,1840.21,1
2/1/2019,2757708.0,4.9,1,218.5,2073.97,1
4/1/2019,2812379.0,125.3,7,178.5,1636.6733018867924,1
