Month,Production/kg
2016-01-01,3102903.00
2016-02-01,2822829.00
2016-03-01,1990515.00
2016-04-01,2847736.00
2016-05-01,3209612.00
2016-06-01,3258617.00
2016-07-01,2459128.00
2016-08-01,2817901.00
2016-09-01,2460078.00
2016-10-01,2215816.00
2016-11-01,3642908.00
2016-12-01,3354632.00
2017-01-01,3175557.00
2017-02-01,2536416.00
2017-03-01,2760144.00
2017-04-01,3743765.00
2017-05-01,3192891.00
2017-06-01,3468381.00
2017-07-01,3264970.00
2017-08-01,3280748.00
2017-09-01,3510599.00
2017-10-01,3466405.00
2017-11-01,3246515.00
2017-12-01,3098666.00
2018-01-01,3118841.00
2018-02-01,2561711.00
2018-03-01,3455340.00
2018-04-01,2946013.00
2018-05-01,3788471.00
2018-06-01,2816589.00
2018-07-01,2966482.00
2018-08-01,2721844.00
2018-09-01,2071524.00
2018-10-01,3416506.00
2018-11-01,2933576.00
2018-12-01,3251084.00
2019-01-01,2879775.00
2019-02-01,2757708.00
2019-03-01,3311590.00
2019-04-01,2812379.00
2019-05-01,3649952.00
2019-06-01,3301570.00
2019-07-01,3085636.00
2019-08-01,3339181.00
2019-09-01,2825519.00
2019-10-01,2612754.00
2019-11-01,2425851.00
2019-12-01,2881389.00
2020-01-01,2370636.00
2020-02-01,1592016.00
2020-03-01,1069464.00
2020-04-01,2435760.00
2020-05-01,2871882.00
2020-06-01,2767460.00
2020-07-01,2968377.00
2020-08-01,2730699.00
2020-09-01,2765180.00
2020-10-01,3066900.00
2020-11-01,3035189.00
2020-12-01,3370656.00
2021-01-01,2943697.00
2021-02-01,2667124.00
2021-03-01,3301627.00
2021-04-01,3148491.00
2021-05-01,3288290.00
2021-06-01,2873740.00
2021-07-01,2929304.00
2021-08-01,2875345.00
2021-09-01,2828901.00
2021-10-01,2921157.00
2021-11-01,2534384.00
2021-12-01,2312735.00
2022-01-01,2578400.00
2022-02-01,2312991.00
2022-03-01,2649128.00
2022-04-01,2477439.00
2022-05-01,2705619.00
2022-06-01,2484138.00
2022-07-01,2310660.00
2022-08-01,2510014.00
2022-09-01,2466098.00
2022-10-01,2350505.00
2022-11-01,2609445.00
2022-12-01,2488589.00
